timestamp,event_type,details
2025-11-25T02:13:56,multi_person,count=2
2025-11-25T02:13:57,phone_detected,count=1
2025-11-25T02:14:02,phone_detected,count=1
2025-11-25T02:14:03,multi_person,count=2
2025-11-25 02:20:14,TEST_START,Proctor logger test initialized
2025-11-25 02:20:14,FACE_MISMATCH,similarity=0.310
2025-11-25 02:20:14,MULTIPLE_FACES,faces=2
2025-11-25 02:20:14,LOOK_AWAY,Right
2025-11-25 02:20:14,PHONE_DETECTED,count=1
2025-11-25 02:20:14,BOOK_DETECTED,count=1
2025-11-25 02:20:14,NO_FACE_DETECTED,User not visible
2025-11-25 02:20:14,MULTIPLE_PERSON_DETECTED,count=2
2025-11-25 02:20:14,TEST_END,Logger test complete
2025-11-25 02:28:49,LOOK_AWAY,"Up"
2025-11-25 02:28:50,PHONE_DETECTED,"count=1"
2025-11-25 02:28:52,LOOK_AWAY,"Up"
2025-11-25 02:28:55,LOOK_AWAY,"Right"
2025-11-25 02:28:58,LOOK_AWAY,"Up"
2025-11-25 02:29:01,LOOK_AWAY,"Up"
2025-11-25 02:29:04,MULTIPLE_PERSON_DETECTED,"count=2"
2025-11-25 02:29:06,NO_FACE_DETECTED,"User not visible"
2025-11-25 02:29:08,LOOK_AWAY,"Up"
2025-11-25 02:29:11,LOOK_AWAY,"Up"
2025-11-25 02:29:14,PHONE_DETECTED,"count=1"
2025-11-25 02:29:14,LOOK_AWAY,"Up"
2025-11-25 02:29:18,LOOK_AWAY,"Left"
2025-11-25 02:29:19,MULTIPLE_PERSON_DETECTED,"count=2"
